event_type,event_timestamp,example_number,prompt_tokens,completion_tokens,total_tokens,llm_name,tool_name,function_name,function_id,parent_function_name,parent_function_id,UUID,framework,NOVA-Event-ID,NOVA-Requests-Remaining-In-Event,NOVA-Time-To-Next-Event,NOVA-Time-To-Event-End,NOVA-Predicted-OSL,NOVA-Time-To-Session-End
LLM_NEW_TOKEN,1765872293.6814554,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5451.828241348267,12111.138105392456,,14011.956930160522
LLM_NEW_TOKEN,1765872293.6819422,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5451.341390609741,12110.65125465393,,14011.470079421997
LLM_NEW_TOKEN,1765872293.6971915,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5436.092138290405,12095.402002334595,,13996.220827102661
LLM_NEW_TOKEN,1765872293.6974552,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5435.828447341919,12095.138311386108,,13995.957136154175
LLM_NEW_TOKEN,1765872293.7131884,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5420.095205307007,12079.405069351196,,13980.223894119263
LLM_NEW_TOKEN,1765872293.7138178,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5419.465780258179,12078.775644302368,,13979.594469070435
LLM_NEW_TOKEN,1765872293.7246294,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5408.65421295166,12067.96407699585,,13968.782901763916
LLM_NEW_TOKEN,1765872293.7249913,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5408.292293548584,12067.602157592773,,13968.42098236084
LLM_NEW_TOKEN,1765872293.7358413,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5397.44234085083,12056.75220489502,,13957.571029663086
LLM_NEW_TOKEN,1765872293.7360783,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5397.205352783203,12056.515216827393,,13957.334041595459
LLM_NEW_TOKEN,1765872293.749604,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5383.679628372192,12042.989492416382,,13943.808317184448
LLM_NEW_TOKEN,1765872293.7498772,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5383.406400680542,12042.716264724731,,13943.535089492798
LLM_NEW_TOKEN,1765872293.7583346,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5374.948978424072,12034.258842468262,,13935.077667236328
